image,prediction,confidence,fake_probability,real_probability
1.jpg,REAL,0.910177,0.089823,0.910177
10.png,FAKE,1.0,1.0,0.0
11.png,FAKE,0.968189,0.968189,0.031811
12.jpg,REAL,0.996167,0.003832,0.996167
13.png,FAKE,0.999994,0.999994,6e-06
14.png,FAKE,0.999816,0.999816,0.000184
15.png,FAKE,1.0,1.0,0.0
16.png,FAKE,0.999995,0.999995,5e-06
17.png,REAL,0.818777,0.181223,0.818777
18.png,FAKE,0.999993,0.999993,7e-06
2.jpg,REAL,0.514166,0.485834,0.514166
3.jpg,REAL,0.599176,0.400824,0.599176
4.jpg,REAL,0.594513,0.405487,0.594513
5.jpg,REAL,0.930583,0.069417,0.930583
6.jpg,FAKE,0.998953,0.998953,0.001047
7.jpg,FAKE,0.999754,0.999754,0.000245
8.jpg,FAKE,1.0,1.0,0.0
9.jpg,FAKE,0.997311,0.997311,0.002689
